Loose,Medium,Tight,eta1,eta2
0.8183006536,0.7581699346,0.6509803922,-2.5,-2.35
0.8679738562,0.8091503268,0.7241830065,-2.35,-2
0.8941176471,0.831372549,0.739869281,-2,-1.8
0.9163398693,0.8614379085,0.7660130719,-1.8,-1.5
0.8692810458,0.8065359477,0.6379084967,-1.5,-1.35
0.9215686275,0.8535947712,0.7516339869,-1.35,-1.15
0.9333333333,0.8823529412,0.7777777778,-1.15,-0.8
0.9359477124,0.8928104575,0.8013071895,-0.8,-0.6
0.9346405229,0.8967320261,0.8104575163,-0.6,-0.01
0.9098039216,0.862745098,0.7607843137,-0.01,0
0.8980392157,0.845751634,0.7411764706,0,0.01
0.9359477124,0.8980392157,0.8091503268,0.01,0.6
0.939869281,0.8967320261,0.8078431373,0.6,0.8
0.937254902,0.8862745098,0.7830065359,0.8,1.15
0.9241830065,0.8575163399,0.7568627451,1.15,1.35
0.8823529412,0.8235294118,0.6562091503,1.35,1.5
0.9241830065,0.8692810458,0.7712418301,1.5,1.8
0.8993464052,0.8339869281,0.739869281,1.8,2
0.8718954248,0.8117647059,0.7267973856,2,2.35
0.8248366013,0.7699346405,0.6718954248,2.35,2.5