a,eta
0.07923444976,-2.451527224
0.01406698565,-2.414342629
0.00976076555,-2.377158035
-0.004306220096,-2.32934927
0.01263157895,-2.249667995
0.007464114833,-2.14873838
0.006602870813,-2.079681275
0.01119617225,-2.026560425
-0.004306220096,-1.952191235
-0.007751196172,-1.85126162
0.015215311,-1.782204515
0.01779904306,-1.74501992
0.002296650718,-1.70252324
-0.015215311,-1.64940239
0.003444976077,-1.612217795
0.0209569378,-1.564409031
0.01377990431,-1.527224436
-0.001148325359,-1.490039841
0.009473684211,-1.442231076
0.007751196172,-1.399734396
0.003157894737,-1.330677291
-0.005741626794,-1.245683931
-0.01578947368,-1.150066401
-0.01779904306,-1.054448871
-0.01148325359,-0.9482071713
-0.01062200957,-0.8525896414
-0.01894736842,-0.7463479416
-0.02009569378,-0.6507304117
-0.01779904306,-0.5498007968
-0.01980861244,-0.4541832669
-0.02009569378,-0.3479415671
-0.02153110048,-0.2470119522
-0.01578947368,-0.1513944223
-0.01751196172,-0.05046480744
-0.0166507177,0.05046480744
-0.01406698565,0.1460823373
-0.0195215311,0.2523240372
-0.01894736842,0.3479415671
-0.01894736842,0.4435590969
-0.01722488038,0.5551128818
-0.01980861244,0.6507304117
-0.01894736842,0.7516600266
-0.01033492823,0.8472775564
-0.01234449761,0.9535192563
-0.01693779904,1.054448871
-0.01492822967,1.150066401
-0.006315789474,1.240371846
0.002870813397,1.325365206
0.008325358852,1.389110226
0.015215311,1.442231076
0.01406698565,1.490039841
0.01894736842,1.532536521
0.02325358852,1.569721116
-0.002870813397,1.612217795
-0.02066985646,1.654714475
-0.005454545455,1.70252324
0.01148325359,1.739707835
0.01004784689,1.782204515
-0.01435406699,1.845949535
-0.01090909091,1.952191235
0.005741626794,2.026560425
0.0002870813397,2.07436919
0.002870813397,2.143426295
0.006028708134,2.249667995
-0.01320574163,2.32934927
0.0008612440191,2.377158035
0.004306220096,2.419654714
0.07636363636,2.451527224