c,eta1,eta2
0.02544753086,-2.47,-2.3
0.01294753086,-2.3,-2
0.01271604938,-2,-1.8
0.01557098765,-1.8,-1.6
0.02444444444,-1.6,-1.4
0.01595679012,-1.4,-1.2
0.006774691358,-1.2,-1
0.008086419753,-1,-0.8
0.009166666667,-0.8,-0.6
0.007546296296,-0.6,-0.4
0.006311728395,-0.4,-0.2
0.008163580247,-0.2,0
0.007546296296,0,0.2
0.006851851852,0.2,0.4
0.007777777778,0.4,0.6
0.009012345679,0.6,0.8
0.01202160494,0.8,1
0.01086419753,1,1.2
0.01564814815,1.2,1.4
0.01966049383,1.4,1.6
0.01580246914,1.6,1.8
0.01148148148,1.8,2
0.01433641975,2,2.3
0.02899691358,2.3,2.47