eff_tight,eff_loose,eta1,eta2
0.6280193237,0.7314009662,-2.5,-2.3
0.7101449275,0.7893719807,-2.3,-2.1
0.7014492754,0.7787439614,-2.1,-1.9
0.709178744,0.7777777778,-1.9,-1.7
0.7516908213,0.8028985507,-1.7,-1.5
0.7874396135,0.8396135266,-1.5,-1.3
0.8202898551,0.8666666667,-1.3,-1.1
0.8405797101,0.8821256039,-1.1,-0.9
0.8541062802,0.8946859903,-0.9,-0.7
0.8608695652,0.9033816425,-0.7,-0.5
0.8657004831,0.9082125604,-0.5,-0.3
0.8666666667,0.9101449275,-0.3,-0.1
0.8637681159,0.909178744,-0.1,0.1
0.8676328502,0.909178744,0.1,0.3
0.8676328502,0.9082125604,0.3,0.5
0.8628019324,0.9043478261,0.5,0.7
0.8550724638,0.8946859903,0.7,0.9
0.8434782609,0.884057971,0.9,1.1
0.8193236715,0.8685990338,1.1,1.3
0.7874396135,0.8415458937,1.3,1.5
0.754589372,0.8038647343,1.5,1.7
0.7111111111,0.7787439614,1.7,1.9
0.7043478261,0.7806763285,1.9,2.1
0.7101449275,0.7913043478,2.1,2.3
0.6289855072,0.7236714976,2.3,2.5