eff_tight,eff_loose,pt1,pt2
0.7246376812,0.7787439614,0.4,0.5
0.7835748792,0.8444444444,0.5,0.6
0.793236715,0.8512077295,0.6,0.7
0.7990338164,0.8570048309,0.7,0.8
0.8038647343,0.8618357488,0.8,0.9
0.8077294686,0.8647342995,0.9,1
0.8115942029,0.8685990338,1,1.1
0.8144927536,0.870531401,1.1,1.2
0.8173913043,0.8734299517,1.2,1.3
0.8202898551,0.8753623188,1.3,1.4
0.8222222222,0.8763285024,1.4,1.5
0.8270531401,0.8792270531,1.5,2
0.8338164251,0.8859903382,2,2.5
0.838647343,0.8888888889,2.5,3
0.8444444444,0.8917874396,3,3.5
0.8483091787,0.8937198068,3.5,4
0.852173913,0.8966183575,4,5