eff_1,eff_2,eff_3,eff_4,pt1,pt2
0.8378661088,0.8305439331,0.8420502092,0.8357740586,25,30
0.859832636,0.8514644351,0.8629707113,0.8483263598,30,35
0.8765690377,0.8880753138,0.8577405858,0.8817991632,35,40
0.8922594142,0.8828451883,0.8985355649,0.8807531381,40,45
0.9037656904,0.8964435146,0.910041841,0.8859832636,45,50
0.9142259414,0.9089958159,0.9278242678,0.8922594142,50,60
0.9257322176,0.9194560669,0.9351464435,0.8953974895,60,80
0.9320083682,0.9267782427,0.9393305439,0.9058577406,80,100
0.9361924686,0.9351464435,0.940376569,0.9131799163,100,125
0.9382845188,0.9372384937,0.9414225941,0.9152719665,125,150
0.9382845188,0.9361924686,0.9445606695,0.9152719665,150,175
0.9351464435,0.9361924686,0.9466527197,0.9121338912,175,250
0.9330543933,0.9341004184,0.9445606695,0.9027196653,250,350
0.9215481172,0.929916318,0.9393305439,0.8922594142,350,1000